,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,This Must Be the Place (Naive Melody) [by Talking Heads],"7"" Singles",Kishi Bashi,2013-04-02,206896,53,0.729,0.794,0.729,0.267,0.000114,0.209,-8.63,0.0311,119.985,4
1,Billie Jean,Between The Bars (EP),The Civil Wars,2012,259920,64,0.532,0.829,0.532,0.203,0.0,0.108,-8.524,0.0668,89.646,4
2,Wild Things,Know-It-All (Deluxe),Alessia Cara,2016-03-11,188493,64,0.741,0.02,0.741,0.626,0.0,0.0828,-4.826,0.0886,108.029,4
3,11 Blocks,11 Blocks,Wrabel,2016-06-24,222213,62,0.553,0.0216,0.553,0.711,0.0,0.142,-4.275,0.0378,99.515,4
4,Lost Boy,Lost Boy,Ruth B.,2015-08-21,275280,77,0.71,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,123.994,4
5,Just You and I,Just You and I,Tom Walker,2019-01-11,174982,67,0.567,0.456,0.567,0.696,0.0,0.113,-5.416,0.301,92.061,4
6,I Don't Wanna Love You Anymore,Thru These Tears / I Don’t Wanna Love You Anymore,LANY,2018-08-22,201177,0,0.704,0.338,0.704,0.622,0.0,0.0915,-8.29,0.0404,104.984,4
7,better off,glisten,Jeremy Zucker,2018-05-04,193946,73,0.708,0.747,0.708,0.322,9.24e-05,0.137,-12.46,0.0371,98.892,4
8,Apple,Inner Monologue Part 1,Julia Michaels,2019-01-24,164333,50,0.65,0.714,0.65,0.361,0.0,0.118,-6.853,0.0405,126.077,4
9,i'm so tired...,i'm so tired...,Lauv,2019-01-24,162582,26,0.599,0.176,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,4
10,No One Compares To You,No One Compares To You,Jack & Jack,2018-10-05,184080,0,0.703,0.123,0.703,0.748,0.0,0.0642,-6.047,0.0435,111.943,4
11,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
12,Start Again (feat. Logic),13 Reasons Why (Season 2),Selena Gomez,2018-05-18,165626,67,0.564,0.162,0.564,0.722,0.0,0.0931,-5.59,0.124,99.083,4
13,Body (feat. brando),Body (feat. brando),Loud Luxury,2017-10-27,163216,61,0.752,0.0476,0.752,0.764,9.44e-05,0.0543,-4.399,0.038,121.958,4
14,Crashing (ft. Bahari) – Rock Mafia Remix,Crashing (Remixes),ILLENIUM,2019-03-15,201250,26,0.666,0.16,0.666,0.609,0.0,0.114,-7.202,0.093,96.074,4
15,Talk to Me,Dear.,Cavetown,2018-06-29,277327,50,0.626,0.667,0.626,0.323,0.0,0.0605,-9.607,0.0339,130.086,4
